Customer ID,recency,frequency,monetary,R,F,M,RFM Score,Segment
C00192,58,60,627019,3,4,4,344,loyal customers
C00193,34,48,422172,5,3,4,534,champions
C00194,70,56,479399,3,3,4,334,need attention
C00195,63,52,1623726,3,3,5,335,need attention
C00196,127,36,129970,2,2,2,222,at risk
C00197,254,56,552096,1,3,4,134,at risk
C00198,20,32,246928,5,1,3,513,new customers
C00199,139,68,103402,2,4,1,241,at risk
C00200,70,80,928786,3,5,5,355,loyal customers
C00201,106,76,258030,2,5,3,253,can't loose
C00202,32,36,110495,5,2,1,521,champions
C00203,29,52,881118,5,3,5,535,champions
C00204,290,92,248661,1,5,3,153,can't loose
C00205,55,52,388143,4,3,3,433,champions
C00206,19,56,430596,5,3,4,534,champions
C00207,61,56,435357,3,3,4,334,need attention
C00209,23,20,116876,5,1,1,511,new customers
C00211,36,80,560196,4,5,4,454,loyal customers
C00212,82,36,158051,3,2,2,322,need attention
C00213,22,84,453438,5,5,4,554,champions
C00214,23,76,933444,5,5,5,555,champions
C00215,97,116,708439,2,5,5,255,can't loose
C00217,66,52,905094,3,3,5,335,need attention
C00218,36,28,115620,4,1,1,411,new customers
C00219,45,32,314388,4,1,3,413,new customers
C00220,35,68,213683,5,4,2,542,champions
C00221,70,32,29484,3,1,1,311,need attention
C00222,35,52,596336,5,3,4,534,champions
C00223,277,24,158173,1,1,2,112,at risk
C00224,32,92,644841,5,5,4,554,champions
C00226,200,56,250771,1,3,3,133,at risk
C00228,146,52,127756,2,3,2,232,at risk
C00229,365,32,22936,1,1,1,111,at risk
C00230,42,60,328943,4,4,3,443,loyal customers
C00231,230,44,771833,1,2,5,125,at risk
C00232,89,48,688095,3,3,5,335,need attention
C00233,1,19986,24814222,5,5,5,555,champions
C00234,61,52,486243,3,3,4,334,need attention
C00236,111,36,33702,2,2,1,221,at risk
C00237,120,56,572302,2,3,4,234,at risk
C00238,54,36,13566,4,2,1,421,champions
C00239,255,40,118490,1,2,1,121,at risk
C00240,132,24,110715,2,1,1,211,at risk
C00241,46,44,291275,4,2,3,423,champions
C00242,25,32,330378,5,1,3,513,new customers
C00243,39,44,185501,4,2,2,422,champions
C00244,25,40,169214,5,2,2,522,champions
C00246,230,44,313174,1,2,3,123,at risk
C00247,10,19986,24814222,5,5,5,555,champions
C00248,61,48,708102,3,3,5,335,need attention
C00249,315,32,316346,1,1,3,113,at risk
C00250,90,8,12300,3,1,1,311,need attention
C00251,48,80,473665,4,5,4,454,loyal customers
C00252,148,128,2004831,2,5,5,255,can't loose
C00253,300,36,427761,1,2,4,124,at risk
C00254,57,16,190564,3,1,2,312,need attention
C00255,145,28,252601,2,1,3,213,at risk
C00256,68,64,230174,3,4,2,342,loyal customers
C00257,103,32,428860,2,1,4,214,at risk
C00259,113,44,405345,2,2,3,223,at risk
C00260,148,56,510448,2,3,4,234,at risk
C00261,35,36,356238,5,2,3,523,champions
C00262,25,124,1065474,5,5,5,555,champions
C00263,174,28,92865,1,1,1,111,at risk
C00264,230,68,100040,1,4,1,141,at risk
C00265,164,24,136762,1,1,2,112,at risk
C00266,13,24,319626,5,1,3,513,new customers
C00268,15,44,120048,5,2,1,521,champions
C00269,53,32,345507,4,1,3,413,new customers
C00270,165,100,553230,1,5,4,154,can't loose
C00271,66,28,45469,3,1,1,311,need attention
C00272,60,24,22386,3,1,1,311,need attention
C00273,41,80,905256,4,5,5,455,loyal customers
C00274,126,40,102418,2,2,1,221,at risk
C00275,126,44,597375,2,2,4,224,at risk
C00276,165,72,599481,1,4,4,144,at risk
C00277,61,84,892134,3,5,5,355,loyal customers
C00278,70,32,516456,3,1,4,314,need attention
C00279,95,28,59808,2,1,1,211,at risk
C00280,118,32,135420,2,1,2,212,at risk
C00281,171,16,53741,1,1,1,111,at risk
C00282,20,60,241654,5,4,2,542,champions
C00283,110,68,436882,2,4,4,244,at risk
C00284,83,56,664605,3,3,4,334,need attention
C00285,47,44,202459,4,2,2,422,champions
C00286,50,84,418815,4,5,4,454,loyal customers
C00287,49,80,726489,4,5,5,455,loyal customers
C00288,51,60,263794,4,4,3,443,loyal customers
C00289,36,56,786834,4,3,5,435,champions
C00290,197,40,756135,1,2,5,125,at risk
C00291,225,56,223655,1,3,2,132,at risk
C00292,18,52,687693,5,3,5,535,champions
C00293,158,56,490455,1,3,4,134,at risk
C00295,88,68,277406,3,4,3,343,loyal customers
C00296,63,40,610671,3,2,4,324,need attention
C00297,96,44,524478,2,2,4,224,at risk
C00298,29,48,450607,5,3,4,534,champions
C00299,20,56,846774,5,3,5,535,champions
C00301,119,52,123574,2,3,1,231,at risk
C00302,162,56,574193,1,3,4,134,at risk
C00303,75,80,229848,3,5,2,352,loyal customers
C00304,170,20,359229,1,1,3,113,at risk
C00306,26,64,464202,5,4,4,544,champions
C00307,18,24,276452,5,1,3,513,new customers
C00308,41,36,320555,4,2,3,423,champions
C00309,125,56,1263276,2,3,5,235,at risk
C00310,69,24,1369023,3,1,5,315,need attention
C00311,56,96,218612,3,5,2,352,loyal customers
C00312,15,12,21533,5,1,1,511,new customers
C00313,165,44,463173,1,2,4,124,at risk
C00314,130,44,885903,2,2,5,225,at risk
C00315,49,116,2297889,4,5,5,455,loyal customers
C00316,18,88,204899,5,5,2,552,champions
C00318,47,28,22304,4,1,1,411,new customers
C00319,26,52,190198,5,3,2,532,champions
C00321,25,44,87043,5,2,1,521,champions
C00322,43,40,291397,4,2,3,423,champions
C00323,172,56,768783,1,3,5,135,at risk
C00324,67,40,114985,3,2,1,321,need attention
C00325,15,80,1601046,5,5,5,555,champions
C00326,139,24,35342,2,1,1,211,at risk
C00327,164,60,479905,1,4,4,144,at risk
C00328,82,40,212872,3,2,2,322,need attention
C00329,33,72,378505,5,4,3,543,champions
C00330,130,80,1807677,2,5,5,255,can't loose
C00331,48,24,87330,4,1,1,411,new customers
C00332,36,68,475800,4,4,4,444,loyal customers
C00333,260,28,37212,1,1,1,111,at risk
C00334,34,76,492561,5,5,4,554,champions
C00335,85,24,32086,3,1,1,311,need attention
C00336,19,44,363137,5,2,3,523,champions
C00337,56,44,1884839,3,2,5,325,need attention
C00340,84,28,73185,3,1,1,311,need attention
C00341,155,56,495936,1,3,4,134,at risk
C00343,21,48,61257,5,3,1,531,champions
C00344,70,52,633015,3,3,4,334,need attention
C00345,14,72,932019,5,4,5,545,champions
C00346,19,28,154570,5,1,2,512,new customers
C00347,78,76,333792,3,5,3,353,loyal customers
C00348,74,52,435666,3,3,4,334,need attention
C00349,55,56,1501254,4,3,5,435,champions
C00350,132,40,216890,2,2,2,222,at risk
C00351,50,76,462258,4,5,4,454,loyal customers
C00352,50,52,350649,4,3,3,433,champions
C00353,105,44,283101,2,2,3,223,at risk
C00354,238,56,93931,1,3,1,131,at risk
C00355,15,44,328058,5,2,3,523,champions
C00356,300,16,37761,1,1,1,111,at risk
C00357,127,16,7093,2,1,1,211,at risk
C00358,118,64,188108,2,4,2,242,at risk
C00359,57,68,396866,3,4,3,343,loyal customers
C00360,188,16,154696,1,1,2,112,at risk
C00361,20,64,262239,5,4,3,543,champions
C00362,15,56,347212,5,3,3,533,champions
C00363,18,28,45384,5,1,1,511,new customers
C00365,50,60,324243,4,4,3,443,loyal customers
C00366,206,52,203252,1,3,2,132,at risk
C00367,134,60,106436,2,4,1,241,at risk
C00368,62,68,464820,3,4,4,344,loyal customers
C00369,21,64,357930,5,4,3,543,champions
C00370,115,40,336879,2,2,3,223,at risk
C00371,228,44,159881,1,2,2,122,at risk
C00372,67,64,815994,3,4,5,345,loyal customers
C00373,13,28,29971,5,1,1,511,new customers
C00374,132,32,207583,2,1,2,212,at risk
C00375,61,80,763379,3,5,5,355,loyal customers
C00376,74,48,550830,3,3,4,334,need attention
C00377,193,48,697047,1,3,5,135,at risk
C00378,21,48,126758,5,3,2,532,champions
C00380,55,44,165432,4,2,2,422,champions
C00381,81,4,126514,3,1,2,312,need attention
C00382,59,88,1690470,3,5,5,355,loyal customers
C00383,97,80,946404,2,5,5,255,can't loose
C00384,64,92,989969,3,5,5,355,loyal customers
C00386,171,64,405894,1,4,3,143,at risk
C00387,130,28,211847,2,1,2,212,at risk
C00388,236,36,220698,1,2,2,122,at risk
C00389,187,32,77470,1,1,1,111,at risk
C00390,34,136,493878,5,5,4,554,champions
C00392,122,52,750136,2,3,5,235,at risk
C00395,54,36,140422,4,2,2,422,champions
C00398,18,44,182268,5,2,2,522,champions
C00399,105,96,950807,2,5,5,255,can't loose
C00400,42,56,782772,4,3,5,435,champions
C00401,56,28,63427,3,1,1,311,need attention
C00402,125,44,56486,2,2,1,221,at risk
C00403,41,72,489564,4,4,4,444,loyal customers
C00404,20,36,489483,5,2,4,524,champions
C00405,313,24,101870,1,1,1,111,at risk
C00407,41,36,548695,4,2,4,424,champions
C00408,70,36,125599,3,2,2,322,need attention
C00409,130,68,570240,2,4,4,244,at risk
C00410,115,52,331533,2,3,3,233,at risk
C00411,54,68,1716390,4,4,5,445,loyal customers
C00412,33,28,524556,5,1,4,514,new customers
C00414,70,76,278800,3,5,3,353,loyal customers
C00415,46,40,216726,4,2,2,422,champions
C00416,27,76,222466,5,5,2,552,champions
C00417,17,40,310165,5,2,3,523,champions
C00420,110,72,2061855,2,4,5,245,at risk
C00421,308,16,13054,1,1,1,111,at risk
C00422,309,88,154242,1,5,2,152,can't loose
C00423,53,72,485011,4,4,4,444,loyal customers
C00424,54,40,276513,4,2,3,423,champions
C00425,14,56,602964,5,3,4,534,champions
C00426,69,80,553213,3,5,4,354,loyal customers
C00427,32,68,383202,5,4,3,543,champions
C00428,130,36,133102,2,2,2,222,at risk
C00429,39,60,165845,4,4,2,442,loyal customers
C00430,109,40,434723,2,2,4,224,at risk
C00431,65,32,317810,3,1,3,313,need attention
C00433,113,52,679479,2,3,5,235,at risk
C00434,125,112,1198223,2,5,5,255,can't loose
C00435,35,92,871568,5,5,5,555,champions
C00436,49,44,149568,4,2,2,422,champions
C00437,110,20,759699,2,1,5,215,at risk
C00438,29,88,734806,5,5,5,555,champions
C00440,243,92,270149,1,5,3,153,can't loose
C00441,14,36,96801,5,2,1,521,champions
C00442,302,52,220908,1,3,2,132,at risk
C00443,71,68,385810,3,4,3,343,loyal customers
C00444,60,116,2755620,3,5,5,355,loyal customers
C00445,28,36,44731,5,2,1,521,champions
C00446,70,28,167628,3,1,2,312,need attention
C00447,15,60,589539,5,4,4,544,champions
C00448,111,60,224311,2,4,2,242,at risk
C00449,41,112,718885,4,5,5,455,loyal customers
C00450,61,12,4920,3,1,1,311,need attention
C00451,164,12,42212,1,1,1,111,at risk
C00452,39,12,48373,4,1,1,411,new customers
C00453,167,104,1686420,1,5,5,155,can't loose
C00454,165,96,969246,1,5,5,155,can't loose
C00455,34,36,215147,5,2,2,522,champions
C00456,101,60,327692,2,4,3,243,at risk
C00457,262,48,401258,1,3,3,133,at risk
C00459,40,120,377529,4,5,3,453,loyal customers
C00460,29,92,1121729,5,5,5,555,champions
C00461,34,60,226156,5,4,2,542,champions
C00462,39,64,999783,4,4,5,445,loyal customers
C00463,54,56,873180,4,3,5,435,champions
C00464,191,56,552987,1,3,4,134,at risk
C00466,33,88,294216,5,5,3,553,champions
C00467,46,44,628236,4,2,4,424,champions
C00469,252,24,31242,1,1,1,111,at risk
C00470,145,48,275232,2,3,3,233,at risk
C00471,67,36,306830,3,2,3,323,need attention
C00473,53,36,110837,4,2,1,421,champions
C00474,22,60,534970,5,4,4,544,champions
C00475,47,56,429684,4,3,4,434,champions
C00476,218,20,244782,1,1,2,112,at risk
C00477,26,76,511596,5,5,4,554,champions
C00479,15,36,94245,5,2,1,521,champions
C00480,35,64,198156,5,4,2,542,champions
C00481,109,56,99302,2,3,1,231,at risk
C00482,34,60,1054053,5,4,5,545,champions
C00484,47,48,99056,4,3,1,431,champions
C00485,181,24,192516,1,1,2,112,at risk
C00486,89,52,268304,3,3,3,333,need attention
C00487,132,52,350323,2,3,3,233,at risk
C00488,61,76,226493,3,5,2,352,loyal customers
C00489,55,88,2073195,4,5,5,455,loyal customers
C00490,43,24,58425,4,1,1,411,new customers
C00491,130,68,370599,2,4,3,243,at risk
C00492,286,96,1447227,1,5,5,155,can't loose
C00493,42,52,330132,4,3,3,433,champions
C00494,82,80,398635,3,5,3,353,loyal customers
C00495,67,60,287492,3,4,3,343,loyal customers
C00498,98,44,477414,2,2,4,224,at risk
C00500,40,60,153627,4,4,2,442,loyal customers
C00501,85,20,134993,3,1,2,312,need attention
C00502,295,40,252396,1,2,3,123,at risk
C00504,138,24,93696,2,1,1,211,at risk
C00505,77,136,423120,3,5,4,354,loyal customers
C00506,40,44,128371,4,2,2,422,champions
C00507,64,68,355264,3,4,3,343,loyal customers
C00508,125,72,222220,2,4,2,242,at risk
C00509,168,24,123287,1,1,1,111,at risk
C00510,202,32,116388,1,1,1,111,at risk
C00511,42,56,554185,4,3,4,434,champions
C00513,105,40,344162,2,2,3,223,at risk
C00516,41,52,187739,4,3,2,432,champions
C00517,35,60,1228689,5,4,5,545,champions
C00518,42,52,203770,4,3,2,432,champions
C00519,134,76,611469,2,5,4,254,can't loose
C00520,111,44,216808,2,2,2,222,at risk
C00521,117,44,165927,2,2,2,222,at risk
C00522,62,40,561816,3,2,4,324,need attention
C00524,14,56,557113,5,3,4,534,champions
C00525,49,32,176168,4,1,2,412,new customers
C00526,129,28,122139,2,1,1,211,at risk
C00527,112,52,76506,2,3,1,231,at risk
C00528,41,68,447444,4,4,4,444,loyal customers
C00529,20,64,737505,5,4,5,545,champions
C00530,47,40,243704,4,2,2,422,champions
C00531,193,16,22570,1,1,1,111,at risk
C00532,85,80,774441,3,5,5,355,loyal customers
C00533,39,44,125050,4,2,2,422,champions
C00534,199,48,476847,1,3,4,134,at risk
C00535,105,24,184037,2,1,2,212,at risk
C00536,62,40,437187,3,2,4,324,need attention
C00537,92,16,108580,3,1,1,311,need attention
C00538,74,76,402905,3,5,3,353,loyal customers
C00539,216,44,130011,1,2,2,122,at risk
C00540,57,40,209352,3,2,2,322,need attention
C00541,54,76,218407,4,5,2,452,loyal customers
C00542,18,88,1069767,5,5,5,555,champions
C00543,16,19986,55136496,5,5,5,555,champions
C00545,97,32,448167,2,1,4,214,at risk
C00546,253,44,101434,1,2,1,121,at risk
C00547,29,76,745237,5,5,5,555,champions
C00548,32,44,337446,5,2,3,523,champions
C00549,277,8,2379,1,1,1,111,at risk
C00550,30,56,525620,5,3,4,534,champions
C00551,57,12,769149,3,1,5,315,need attention
C00552,20,48,257542,5,3,3,533,champions
C00553,113,12,23729,2,1,1,211,at risk
C00554,98,48,76219,2,3,1,231,at risk
C00555,84,84,806841,3,5,5,355,loyal customers
C00556,71,40,139728,3,2,2,322,need attention
C00557,38,84,809897,4,5,5,455,loyal customers
C00558,237,68,242146,1,4,2,142,at risk
C00559,61,64,273829,3,4,3,343,loyal customers
C00560,40,72,425949,4,4,4,444,loyal customers
C00561,92,56,1218231,3,3,5,335,need attention
C00562,185,88,711801,1,5,5,155,can't loose
C00563,54,56,218284,4,3,2,432,champions
C00564,61,36,204472,3,2,2,322,need attention
C00565,173,56,945866,1,3,5,135,at risk
C00566,196,32,423706,1,1,4,114,at risk
C00568,83,44,56170,3,2,1,321,need attention
C00569,19,60,377285,5,4,3,543,champions
C00570,257,60,420390,1,4,4,144,at risk
C00571,19,60,810816,5,4,5,545,champions
C00572,223,52,346663,1,3,3,133,at risk
C00573,98,80,364109,2,5,3,253,can't loose
C00575,127,48,297253,2,3,3,233,at risk
C00576,202,44,262933,1,2,3,123,at risk
C00577,217,36,266692,1,2,3,123,at risk
C00578,187,104,576558,1,5,4,154,can't loose
C00579,32,68,288896,5,4,3,543,champions
C00580,71,40,572302,3,2,4,324,need attention
C00582,151,52,1536570,1,3,5,135,at risk
C00584,78,40,742446,3,2,5,325,need attention
C00585,26,19986,20678790,5,5,5,555,champions
C00586,15,20,180236,5,1,2,512,new customers
C00587,120,84,319335,2,5,3,253,can't loose
C00588,43,52,214842,4,3,2,432,champions
C00589,83,8,106872,3,1,1,311,need attention
C00590,38,40,72939,4,2,1,421,champions
C00591,49,104,600291,4,5,4,454,loyal customers
C00592,52,52,120048,4,3,1,431,champions
C00593,17,88,1453140,5,5,5,555,champions
C00594,13,52,245385,5,3,2,532,champions
C00595,49,48,269620,4,3,3,433,champions
C00596,70,68,195529,3,4,2,342,loyal customers
C00598,28,32,23534,5,1,1,511,new customers
C00600,110,136,1410372,2,5,5,255,can't loose
C00601,82,52,64407,3,3,1,331,need attention
C00602,102,52,421022,2,3,4,234,at risk
C00604,147,40,179375,2,2,2,222,at risk
C00605,59,52,671409,3,3,4,334,need attention
C00606,249,52,344841,1,3,3,133,at risk
C00607,116,28,71873,2,1,1,211,at risk
C00608,22,100,1680588,5,5,5,555,champions
C00609,84,28,15785,3,1,1,311,need attention
C00610,70,20,34713,3,1,1,311,need attention
C00612,64,28,404916,3,1,3,313,need attention
C00613,110,44,143336,2,2,2,222,at risk
C00614,209,40,538488,1,2,4,124,at risk
C00615,173,72,951183,1,4,5,145,at risk
C00616,99,40,154818,2,2,2,222,at risk
C00618,127,40,428814,2,2,4,224,at risk
C00620,38,52,894687,4,3,5,435,champions
C00622,18,68,131985,5,4,2,542,champions
C00623,132,32,213683,2,1,2,212,at risk
C00624,32,16,30996,5,1,1,511,new customers
C00625,81,24,147620,3,1,2,312,need attention
C00627,109,72,2213141,2,4,5,245,at risk
C00628,358,36,212707,1,2,2,122,at risk
C00629,18,19986,30327758,5,5,5,555,champions
C00630,46,100,754692,4,5,5,455,loyal customers
C00631,13,19986,13788588,5,5,5,555,champions
C00633,89,36,316930,3,2,3,323,need attention
C00634,32,64,389790,5,4,3,543,champions
C00635,315,36,86387,1,2,1,121,at risk
C00636,22,92,916434,5,5,5,555,champions
C00637,85,60,420373,3,4,4,344,loyal customers
C00638,45,32,530212,4,1,4,414,new customers
C00640,183,40,324761,1,2,3,123,at risk
C00641,133,92,1083421,2,5,5,255,can't loose
C00643,38,36,51988,4,2,1,421,champions
C00644,193,76,286672,1,5,3,153,can't loose
C00646,134,96,1212327,2,5,5,255,can't loose
C00647,102,64,637551,2,4,4,244,at risk
C00649,127,20,408029,2,1,3,213,at risk
C00650,19,44,875228,5,2,5,525,champions
C00651,92,60,176148,3,4,2,342,loyal customers
C00652,67,28,302743,3,1,3,313,need attention
C00653,34,80,207949,5,5,2,552,champions
C00654,102,56,342820,2,3,3,233,at risk
C00655,312,8,14335,1,1,1,111,at risk
C00656,49,56,608963,4,3,4,434,champions
C00657,48,48,375519,4,3,3,433,champions
C00658,45,72,1095039,4,4,5,445,loyal customers
C00659,27,64,111930,5,4,1,541,champions
C00661,19,44,138714,5,2,2,522,champions
C00662,41,60,317505,4,4,3,443,loyal customers
C00663,32,12,1113,5,1,1,511,new customers
C00664,56,60,376995,3,4,3,343,loyal customers
C00665,127,84,609282,2,5,4,254,can't loose
C00666,25,88,701927,5,5,5,555,champions
C00667,55,40,142191,4,2,2,422,champions
C00668,74,36,246806,3,2,3,323,need attention
C00669,123,44,87166,2,2,1,221,at risk
C00670,42,116,662337,4,5,4,454,loyal customers
C00671,21,20,44562,5,1,1,511,new customers
C00674,48,80,356987,4,5,3,453,loyal customers
C00675,53,60,677161,4,4,5,445,loyal customers
C00676,72,36,75153,3,2,1,321,need attention
C00677,21,44,498614,5,2,4,524,champions
C00678,362,88,2070828,1,5,5,155,can't loose
C00679,22,76,2373462,5,5,5,555,champions
C00680,108,96,578219,2,5,4,254,can't loose
C00681,28,84,193858,5,5,2,552,champions
C00682,83,36,153867,3,2,2,322,need attention
C00683,214,28,197396,1,1,2,112,at risk
C00684,201,48,938546,1,3,5,135,at risk
C00685,72,60,336856,3,4,3,343,loyal customers
C00686,42,40,67599,4,2,1,421,champions
C00687,162,44,850257,1,2,5,125,at risk
C00688,94,40,106764,2,2,1,221,at risk
C00689,200,72,546499,1,4,4,144,at risk
C00690,43,28,287859,4,1,3,413,new customers
C00691,60,68,792776,3,4,5,345,loyal customers
